gene1,gene2,type,CC_sum,MF_sum,BP_sum
KMT2B,KMT2A,Conditional,11,15,23
LIMK2,LIMK1,Conditional,13,9,18
PEX5L,PEX5,Conditional,14,13,9
SCO2,SCO1,Conditional,8,3,5
STXBP6,EXOC1,Conditional,10,4,9
TAF5L,TAF5,Conditional,13,6,13
TASP1,ASRGL1,Conditional,5,8,6
USP38,USP35,Conditional,4,7,4
USP42,USP36,Conditional,9,9,15
ADCY6,ADCY5,Conditional,6,7,33
ATP6V0E2,ATP6V0E1,Conditional,4,3,12
BMP8B,BMP8A,Conditional,2,4,10
CDH9,CDH6,Conditional,9,5,15
CDK11B,CDK11A,Conditional,4,9,10
CHCHD2,CHCHD10,Conditional,10,6,13
CLCN2,CLCN1,Conditional,7,6,7
CUL4B,CUL4A,Conditional,17,7,40
DNAH17,DNAH11,Conditional,14,6,8
ELK4,ELK1,Conditional,9,16,10
GNB2,GNB1,Conditional,20,10,11
HNRNPLL,HNRNPL,Conditional,10,9,7
HOMER3,HOMER1,Conditional,11,7,13
KLKB1,F11,Conditional,8,2,11
LMTK2,AATK,Conditional,8,7,16
ORAI3,ORAI1,Conditional,8,7,7
PLAGL2,PLAG1,Conditional,5,11,3
PLCL2,PLCL1,Conditional,0,3,3
POM121C,POM121,Conditional,6,6,22
PRELID3B,PRELID3A,Conditional,2,4,3
RBBP7,RBBP4,Conditional,19,5,18
RPRML,RPRM,Conditional,1,1,1
SEC24D,SEC24C,Conditional,14,10,14
SYNCRIP,HNRNPR,Conditional,14,9,12
TCF7L2,TCF7,Conditional,13,22,33
TRIM16L,TRIM16,Conditional,6,4,9
TRIM63,TRIM54,Conditional,3,5,2
USP6,USP32,Conditional,7,8,5
UTY,KDM6B,Conditional,4,8,7
GOLPH3L,GOLPH3,Others,17,7,28
SBF2,SBF1,Others,11,4,2
ABL2,ABL1,Others,16,41,71
ARFIP2,ARFIP1,Others,12,12,11
BICD2,BICD1,Others,24,17,22
EZH2,EZH1,Others,7,13,20
GIT2,GIT1,Others,8,2,4
IKBKB,CHUK,Others,12,23,70
ITSN2,ITSN1,Others,15,6,13
LATS2,LATS1,Others,10,13,34
NBEA,LRBA,Others,5,3,3
NET1,ARHGEF3,Others,2,2,14
NUMBL,NUMB,Others,5,4,6
PACS2,PACS1,Others,3,5,9
PSEN2,PSEN1,Others,67,16,78
RANBP9,RANBP10,Others,12,3,8
RIC8B,RIC8A,Others,6,8,3
RNF2,RING1,Others,18,10,9
SEC23IP,DDHD2,Others,12,5,4
SIKE1,FGFR1OP2,Others,2,4,1
SMARCC2,SMARCC1,Others,18,7,13
SPAG9,MAPK8IP3,Others,7,10,8
SS18L1,SS18,Others,6,3,4
TNPO2,TNPO1,Others,7,7,5
TOB2,TOB1,Others,6,5,8
ULK2,ULK1,Others,13,10,18
UNC119B,UNC119,Others,13,6,17
YIPF2,YIPF1,Others,13,2,0
ZMIZ2,ZMIZ1,Others,8,6,12
ADIPOR2,ADIPOR1,Others,8,9,12
ARHGAP5,ARHGAP35,Others,7,6,4
CRY2,CRY1,Others,8,13,13
DDI2,DDI1,Others,2,5,10
DEGS2,DEGS1,Others,8,9,8
ENTPD7,ENTPD4,Others,9,15,14
ERC2,ERC1,Others,8,5,9
EVI5L,EVI5,Others,1,8,8
GXYLT2,GXYLT1,Others,0,4,4
GYS2,GYS1,Others,5,10,7
LIN28B,LIN28A,Others,12,7,13
NR2C2,NR2C1,Others,5,18,16
PAFAH1B3,PAFAH1B2,Others,14,7,7
PRPSAP2,PRPSAP1,Others,4,8,6
RBPMS2,RBPMS,Others,5,12,6
RCBTB2,RCBTB1,Others,1,2,0
RHBDF2,RHBDF1,Others,5,2,10
RHOT2,RHOT1,Others,12,7,15
RNF44,RNF38,Others,2,3,1
SAP30L,SAP30,Others,9,11,3
SLC41A2,SLC41A1,Others,7,6,5
SMURF2,SMURF1,Others,12,15,46
SPRED2,SPRED1,Others,6,7,20
SPTAN1,SPTA1,Others,14,6,8
SPTLC3,SPTLC2,Others,6,5,10
TANC2,TANC1,Others,1,1,0
THOP1,NLN,Others,4,5,5
TLN2,TLN1,Others,11,8,8
TMEM39B,TMEM39A,Others,4,1,5
ATAD2B,ATAD2,Others,7,9,6
DUSP8,DUSP16,Others,7,11,13
FLOT2,FLOT1,Others,51,3,44
HMG20B,HMG20A,Others,5,3,3
KAT6B,KAT6A,Others,12,18,19
LSM14B,LSM14A,Others,8,6,6
PHLPP2,PHLPP1,Others,11,4,9
RC3H2,RC3H1,Others,5,19,12
SMAP2,SMAP1,Others,0,3,1
SOCS5,SOCS4,Others,3,5,7
SUCLG2,SUCLA2,Others,11,5,6
TRAK2,TRAK1,Others,9,8,12
UBAP2L,UBAP2,Others,6,5,4
UBE2V2,UBE2V1,Others,17,2,21
ABHD5,ABHD4,Others,9,10,10
ACVR2B,ACVR2A,Others,16,15,31
ADAP2,ADAP1,Others,10,6,4
AK4,AK3,Others,8,10,19
ALG10B,ALG10,Others,3,5,5
ANKRD13D,ANKRD13A,Others,9,4,3
