gene1,gene2,type,CC_sum,MF_sum,BP_sum
CTCFL,CTCF,Others,10,19,21
CTDSP2,CTDSP1,Others,5,8,4
CUL9,CUL7,Others,13,2,19
CYB5B,CYB5A,Others,14,10,3
CYB5R3,CYB5R1,Others,16,5,7
CYTH2,CYTH1,Others,9,3,4
CYTH3,CYTH2,Others,11,4,3
DAB2,DAB1,Others,14,6,26
DACH2,DACH1,Others,4,8,7
DCST2,DCST1,Others,1,2,2
DCUN1D2,DCUN1D1,Others,10,10,10
DCUN1D5,DCUN1D4,Others,7,10,9
DDX47,DDX28,Others,11,4,7
DGUOK,DCK,Others,8,8,6
DISP2,DISP1,Others,2,2,1
DMRTB1,DMRTA2,Others,4,8,5
DNMT3B,DNMT3A,Others,9,14,12
DPF2,DPF1,Others,9,9,11
DUOXA2,DUOXA1,Others,8,2,9
E2F8,E2F7,Others,10,18,13
EFTUD2,EEF2,Others,30,11,7
EHBP1L1,EHBP1,Others,8,1,3
EHD4,EHD1,Others,25,7,20
EHMT2,EHMT1,Others,10,14,13
EN2,EN1,Others,8,10,9
ENO2,ENO1,Others,21,12,21
EPN2,EPN1,Others,12,7,9
EPS15L1,EPS15,Others,16,5,14
ERCC5,BIVM-ERCC5,Others,5,12,16
ESPNL,ESPN,Others,4,3,3
ETV7,ETV6,Others,7,13,10
EVX2,EVX1,Others,5,10,3
EXOSC6,EXOSC4,Others,18,3,24
FAM135B,FAM135A,Others,0,0,2
FAM151B,FAM151A,Others,1,2,1
FAT4,FAT1,Others,8,2,5
FGF2,FGF1,Others,13,22,117
FITM2,FITM1,Others,4,2,13
FMN2,FMN1,Others,10,3,8
FOXK2,FOXK1,Others,11,18,14
FOXN4,FOXN1,Others,3,9,6
FRMD6,FRMD1,Others,2,3,2
FSTL3,FST,Others,8,8,23
FUT11,FUT10,Others,4,4,3
FXR2,FXR1,Others,32,16,18
GABARAPL2,GABARAP,Others,16,9,17
GANC,GANAB,Others,6,10,4
GAS2L2,GAS2L1,Others,5,9,12
GDF10,BMP3,Others,4,4,8
GDF9,BMP15,Others,3,4,14
GGA2,GGA1,Others,14,5,10
GGA3,GGA1,Others,16,7,14
GIGYF2,GIGYF1,Others,10,5,5
GLCCI1,FAM117B,Others,1,1,0
GMPPB,GMPPA,Others,2,2,1
GNAS,GNAL,Others,8,14,13
GNG5,GNG10,Others,8,6,3
GNL3L,GNL3,Others,13,5,15
GOT2,GOT1,Others,13,5,14
GPT2,GPT,Others,3,1,4
GRK6,GRK4,Others,3,4,5
GRPEL2,GRPEL1,Others,6,7,2
GTF2H2C,GTF2H2,Others,10,4,24
H6PD,G6PD,Others,9,9,18
HADHB,ACAA1,Others,15,9,12
HCFC2,HCFC1,Others,19,10,18
HDAC5,HDAC4,Others,15,27,43
HDAC6,HDAC10,Others,20,27,45
HERC4,HERC3,Others,3,0,1
HHATL,HHAT,Others,4,6,2
HIC2,HIC1,Others,5,13,6
HINT2,HINT1,Others,11,6,5
HLX,DBX1,Others,2,5,3
HMOX2,HMOX1,Others,10,13,42
HNRNPH3,HNRNPF,Others,14,7,13
HUS1B,HUS1,Others,6,1,18
ILVBL,HACL1,Others,9,12,11
INF2,DIAPH1,Others,6,3,10
ING5,ING4,Others,12,8,28
INVS,ANKRD55,Others,1,2,2
IP6K2,IP6K1,Others,14,10,13
IRF2BPL,IRF2BP1,Others,6,8,7
ISY1-RAB43,ISY1,Others,8,2,6
ITGB1BP2,CHORDC1,Others,2,5,3
JOSD2,JOSD1,Others,3,5,5
KANSL1L,KANSL1,Others,7,3,3
KANSL2,INO80D,Others,9,1,7
KCNU1,KCNMA1,Others,7,8,15
KCP,BMPER,Others,3,0,9
KCTD2,KCTD17,Others,6,6,6
KIDINS220,ANKS6,Others,3,3,2
KIF15,KIF13B,Others,10,11,9
KIF3B,KIF3A,Others,21,14,22
KIF9,KIF6,Others,7,9,5
KIFC3,KIFC2,Others,8,5,5
KLC4,KLC1,Others,2,3,3
KLHDC3,KLHDC10,Others,6,4,2
KLHL20,KLHL17,Others,13,6,13
KSR2,KSR1,Others,11,7,7
KYAT3,KYAT1,Others,6,8,4
LARP4B,LARP4,Others,10,7,6
LCMT2,LCMT1,Others,3,8,11
LEMD3,LEMD2,Others,14,4,10
LETM2,LETM1,Others,3,3,8
LMAN1L,LMAN1,Others,17,4,14
LONP2,LONP1,Others,12,18,15
LPIN2,LPIN1,Others,9,5,17
LRRC58,LRR1,Others,1,1,1
LSG1,GNL1,Others,8,4,3
LTK,ALK,Others,11,11,26
MAFK,MAFG,Others,6,10,6
MAP1B,MAP1A,Others,14,8,11
MAP3K11,MAP3K10,Others,5,11,24
MAP3K9,MAP3K10,Others,2,8,15
MAPK12,MAPK11,Others,8,11,21
MAPK8IP2,MAPK8IP1,Others,5,8,5
MAPT,MAP2,Others,28,33,60
MARK4,MARK3,Others,19,13,20
MBD3,MBD2,Others,10,10,6
MCL1,BCL2L1,Others,14,12,35
MCM8,MCM4,Others,14,12,15
MCM9,MCM2,Others,13,16,17
MCTP2,MCTP1,Others,9,4,2
ME3,ME2,Others,7,9,11
MEOX2,MEOX1,Others,6,16,11
MEX3C,MEX3B,Others,3,6,0
MEX3D,MEX3B,Others,5,4,0
MFAP3L,MFAP3,Others,12,2,0
MFSD14B,MFSD14A,Others,0,1,0
MIB2,MIB1,Others,5,4,7
MICU3,MICU1,Others,12,7,16
MLF2,MLF1,Others,6,3,3
MLLT6,MLLT10,Others,6,11,4
MOB3A,MOB1B,Others,7,3,3
MOB4,HSPE1-MOB4,Others,1,1,0
MON1B,MON1A,Others,4,3,3
MOV10L1,MOV10,Others,9,9,14
MYL12B,MYL12A,Others,5,2,3
NAB2,NAB1,Others,2,7,3
NACC2,NACC1,Others,8,11,12
NCAM2,NCAM1,Others,12,2,4
NCOR2,NCOR1,Others,25,19,20
NDFIP2,NDFIP1,Others,13,5,18
NEBL,NEB,Others,9,10,7
NEURL1B,NEURL1,Others,6,3,6
NF2,EZR,Others,38,15,45
NFKB2,NFKB1,Others,21,21,42
NFXL1,NFX1,Others,9,10,8
NME2,NME1,Others,19,17,19
NME8,NME7,Others,10,2,1
NODAL,BMP3,Others,4,7,24
NOTCH2,NOTCH1,Others,27,3,63
NPC1L1,NPC1,Others,12,8,17
NPEPL1,LAP3,Others,7,1,0
NPNT,EGFL6,Others,3,2,0
NPTN,BSG,Others,14,5,13
NR1D2,NR1D1,Others,9,21,21
NRAP,NEB,Others,6,5,7
NUBPL,NUBP1,Others,7,7,9
NUDCD3,NUDC,Others,9,5,6
OBSL1,OBSCN,Others,17,11,14
OCEL1,MARVELD2,Others,7,1,4
ORMDL3,ORMDL1,Others,9,2,15
ORMDL3,ORMDL2,Others,8,2,15
OS9,ERLEC1,Others,6,5,13
OSBPL7,OSBPL3,Others,22,10,4
OXR1,NCOA7,Others,2,5,4
P3H4,CRTAP,Others,9,2,7
PABPC4,PABPC1L,Others,14,12,4
PACSIN3,PACSIN2,Others,20,10,13
PANK3,PANK1,Others,6,10,6
PANK3,PANK2,Others,10,9,9
PAQR4,PAQR3,Others,2,3,6
PARP1,BRCA1,Others,29,25,96
PARP2,PARP1,Others,18,19,47
PATL2,PATL1,Others,8,8,7
PBX3,PBX2,Others,3,10,15
PBX4,PBX2,Others,4,11,14
PCBD2,PCBD1,Others,5,5,2
PCNX3,PCNX1,Others,0,0,0
PDCD2L,PDCD2,Others,3,3,4
PDE3B,PDE3A,Others,7,11,23
PDZD2,IL16,Others,12,3,9
PDZK1,PDZD3,Others,9,9,9
PHLDB2,PHLDB1,Others,9,2,17
PIGK,LGMN,Others,13,11,21
PIK3AP1,BANK1,Others,2,7,6
PIP5K1C,PIP5K1A,Others,17,6,24
PITPNM2,PITPNM1,Others,7,18,6
PKN3,PKN1,Others,8,18,15
PKN3,PKN2,Others,15,12,15
PLA2G12B,PLA2G12A,Others,1,2,9
PLD2,PLD1,Others,14,2,17
PLEC,DSP,Others,29,15,19
PLEKHA7,PLEKHA5,Others,13,7,8
PLEKHF2,PLEKHF1,Others,5,7,4
PLEKHG6,PLEKHG5,Others,6,1,6
PLG,LPA,Others,12,19,17
PLPP7,PLPP6,Others,4,5,3
PLXDC2,PLXDC1,Others,1,2,0
POLE4,NFYC,Others,14,9,8
POLR3A,POLR2A,Others,11,9,19
POLR3B,POLR2B,Others,11,4,17
POMGNT1,MGAT1,Others,10,12,8
POMT2,POMT1,Others,9,4,9
POU6F2,POU6F1,Others,2,13,10
PPAN-P2RY11,PPAN,Others,2,2,1
PPARD,PPARA,Others,7,33,57
PPIL4,CWC27,Others,7,2,4
PPM1F,PPM1E,Others,8,9,31
PPP2CB,PPP1CC,Others,14,9,5
PPP3CC,PPP3CB,Others,10,14,17
PPP4R3B,PPP4R3A,Others,6,0,0
PPWD1,PPIL2,Others,10,7,9
PRDX3,PRDX1,Others,15,15,29
PRKACB,PRKACA,Others,23,16,42
PRKAG2,PRKAG1,Others,13,19,33
PROX2,PROX1,Others,8,15,28
PRR3,PPP1R10,Others,4,4,4
PSMD11,COPS2,Others,15,4,37
PSMD7,COPS6,Others,16,3,30
PTCH2,PTCH1,Others,10,15,17
PTDSS2,PTDSS1,Others,3,7,4
PTF1A,FERD3L,Others,2,9,7
PTPRN2,PTPRN,Others,5,5,7
PYGO2,PYGO1,Others,3,3,6
RAB11FIP4,RAB11FIP3,Others,26,7,9
RAB40C,RAB40B,Others,8,1,3
RABGGTB,PGGT1B,Others,5,5,8
RAD21L1,RAD21,Others,15,3,12
RAD9B,RAD9A,Others,7,9,15
RAE1,BUB3,Others,14,6,18
RAPH1,APBB1IP,Others,10,2,0
RARG,RARA,Others,16,25,38
RBL2,RBL1,Others,12,9,11
RBM14-RBM4,RBM14,Others,7,5,7
RBM4B,RBM4,Others,12,14,13
RBMS2,RBMS1,Others,7,11,2
RBMXL3,RBMXL2,Others,2,4,2
RERE,ATN1,Others,7,8,3
RFX2,RFX1,Others,4,11,3
RFX7,RFX5,Others,3,13,3
RFXANK,ANKRA2,Others,10,8,5
RGS14,RGS12,Others,7,8,6
RHOG,RHOC,Others,23,9,35
RIOK3,RIOK1,Others,11,6,15
RNF103-CHMP3,CHMP3,Others,9,3,21
RNF145,RNF139,Others,8,10,11
RNF19B,RNF19A,Others,10,9,10
RNF24,RNF122,Others,5,5,4
RNF5,RNF185,Others,4,16,18
RPA4,RPA2,Others,21,11,39
RPGR,RCC1,Others,13,13,11
RPL17-C18orf32,RPL17,Others,4,3,5
RPL7L1,RPL7,Others,12,12,8
RRP1B,RRP1,Others,13,5,7
RTCA,RCL1,Others,4,4,3
RUFY4,FYCO1,Others,11,4,9
RUSC2,RUSC1,Others,5,3,2
SAMD12,SAMD10,Others,1,2,1
SAMD7,SAMD11,Others,2,6,2
SBNO2,SBNO1,Others,4,5,13
SCAF8,SCAF4,Others,6,9,5
SCAMP3,SCAMP2,Others,12,2,5
SCRIB,LRRC7,Others,28,3,29
SCRN3,SCRN2,Others,1,2,1
SCYL3,SCYL1,Others,9,2,1
SDC3,SDC1,Others,12,5,14
SEC31B,SEC31A,Others,18,4,12
SERINC3,SERINC1,Others,3,2,4
SESN2,SESN1,Others,14,10,28
SETDB2,SETDB1,Others,11,9,13
SF3B3,DDB1,Others,23,10,36
SH3KBP1,CD2AP,Others,12,6,12
SHCBP1L,SHCBP1,Others,1,2,3
SIN3B,SIN3A,Others,11,8,16
SIPA1L3,SIPA1L1,Others,14,4,7
SIRT7,SIRT6,Others,13,18,32
SIX5,SIX4,Others,6,8,3
SKIL,SKI,Others,13,18,23
SKOR2,SKOR1,Others,8,10,6
SLC12A6,SLC12A4,Others,5,6,17
SLC25A25,SLC25A23,Others,2,4,4
SLC25A25,SLC25A24,Others,2,4,5
SLC30A10,SLC30A1,Others,13,7,17
SLC31A2,SLC31A1,Others,5,4,4
SLC35B2,SLC35B1,Others,8,8,4
SLC35B3,SLC35B1,Others,6,6,2
SLC35F4,SLC35F3,Others,0,0,2
SLC36A4,SLC36A1,Others,4,17,17
SLC4A1AP,PPP1R8,Others,7,7,2
SLC4A3,SLC4A2,Others,11,7,13
SMAD2,SMAD1,Others,21,34,45
SMARCD2,SMARCD1,Others,11,6,13
SMC1B,SMC1A,Others,23,6,9
SNAP91,PICALM,Others,23,18,34
SNRK,MELK,Others,7,10,10
SNRNP200,ASCC3,Others,18,12,10
SNRNP70,SNRNP35,Others,12,9,11
SNRPF,LSM6,Others,32,7,17
SNTB2,SNTA1,Others,18,7,6
SNX6,SNX5,Others,15,10,13
SOAT2,SOAT1,Others,10,21,26
SOGA1,MTCL1,Others,11,4,3
SORBS2,SORBS1,Others,8,10,4
SPARCL1,SPARC,Others,16,11,11
SPECC1L,SPECC1,Others,9,1,3
SPG7,AFG3L2,Others,7,8,19
SPHK2,SPHK1,Others,20,20,50
SPIRE2,SPIRE1,Others,7,1,25
SPRYD3,RANBP9,Others,10,2,8
SREBF2,SREBF1,Others,20,18,27
SRSF11,SREK1,Others,7,6,6
SRSF5,SRSF4,Others,9,8,16
STAT3,STAT1,Others,22,37,97
STAU2,STAU1,Others,11,5,2
STIM2,STIM1,Others,15,15,20
STK17B,STK17A,Others,6,6,12
STK35,PDIK1L,Others,5,6,2
STK38L,STK38,Others,5,12,10
STON1-GTF2A1L,STON1,Others,4,1,4
STRAP,EIF3I,Others,10,8,13
STT3B,STT3A,Others,9,6,15
SUSD2,MUC4,Others,10,2,6
SYNGR3,SYNGR2,Others,5,2,1
SYNJ2,SYNJ1,Others,7,11,18
SYS1-DBNDD2,SYS1,Others,3,1,3
SYT13,SYT12,Others,8,11,11
TADA2B,TADA2A,Others,7,7,9
TAF4B,TAF4,Others,14,11,10
TAGAP,ARHGAP20,Others,2,3,2
TARDBP,DAZAP1,Others,7,15,13
TATDN2,TATDN1,Others,2,2,1
TBC1D17,TBC1D15,Others,2,4,5
TBC1D4,TBC1D1,Others,2,4,7
TCF3,TCF12,Others,20,33,14
TDRD6,TDRD15,Others,0,0,0
TECRL,TECR,Others,5,4,7
TEP1,RRP9,Others,9,10,5
TESK2,TESK1,Others,9,6,9
TFB1M,DIMT1,Others,8,9,8
TGFBI,POSTN,Others,14,9,9
THSD7A,SPON1,Others,6,3,2
TINAGL1,TINAG,Others,7,4,2
TJP2,TJP1,Others,26,10,36
TM2D3,TM2D1,Others,1,3,2
TMED7-TICAM2,TICAM2,Others,8,1,17
TMEM14C,TMEM14A,Others,6,2,5
TMEM14C,TMEM14B,Others,4,3,5
TMEM170B,TMEM170A,Others,3,2,4
TMEM87B,TMEM87A,Others,6,0,6
TNK2,TNK1,Others,12,16,13
TNPO3,IPO13,Others,5,5,4
TOP3B,TOP3A,Others,4,8,8
TP53I3,RTN4IP1,Others,3,8,2
TP53INP2,TP53INP1,Others,11,2,12
TPM4,TPM3,Others,16,6,9
TRIM5,TRIM34,Others,12,16,35
TRIOBP,MPRIP,Others,7,6,4
TRIP12,HECTD1,Others,5,5,13
TSPAN17,TSPAN14,Others,7,3,8
TSPYL4,TSPYL1,Others,6,6,1
TTBK2,TTBK1,Others,16,12,26
TTLL4,TTLL11,Others,4,4,6
TUBGCP3,TUBGCP2,Others,21,7,14
TUFM,EEFSEC,Others,6,5,5
TXNL4B,TXNL4A,Others,16,2,4
UBA5,MOCS3,Others,9,14,16
UBE2R2,CDC34,Others,5,8,14
UBE2U,UBE2C,Others,8,7,20
UBN2,UBN1,Others,7,1,1
UBP1,TFCP2,Others,12,16,8
UBR2,UBR1,Others,5,6,11
UCKL1,UCK2,Others,6,3,2
UHMK1,U2AF2,Others,17,12,19
UNKL,UNK,Others,3,4,4
UQCRC2,PMPCA,Others,12,2,7
USH1G,ANKS4B,Others,2,4,7
USH2A,MEGF9,Others,5,2,13
USP45,USP16,Others,7,10,13
USP54,USP53,Others,2,2,3
USP6NL,USP6,Others,9,8,12
UST,HS2ST1,Others,3,5,5
VAMP2,VAMP1,Others,24,9,12
VCP,SPATA5L1,Others,29,16,52
VDAC3,VDAC2,Others,14,9,4
VPS39,TGFBRAP1,Others,11,4,14
WASF2,WASF1,Others,15,11,15
WASL,WAS,Others,17,9,30
WDR37,WDR12,Others,10,1,7
WDR72,WDR7,Others,1,0,0
WDTC1,DCAF6,Others,11,4,5
WEE2,WEE1,Others,7,6,5
WIF1,VWDE,Others,4,3,2
WSB2,WSB1,Others,2,1,4
XDH,AOX1,Others,6,18,15
YAP1,WWTR1,Others,17,12,45
YY1AP1,GON4L,Others,9,3,6
ZBTB25,ZBTB2,Others,3,11,3
ZBTB44,BACH1,Others,5,7,7
ZBTB46,ZBTB10,Others,4,4,2
ZDHHC17,ZDHHC13,Others,9,7,7
ZDHHC8,ZDHHC5,Others,7,7,10
ZEB2,ZEB1,Others,11,13,13
ZFAND2B,ZFAND2A,Others,1,3,3
ZFR2,ZFR,Others,0,6,0
ZKSCAN4,ZKSCAN3,Others,4,13,8
ZKSCAN8,ZKSCAN1,Others,0,6,2
ZNF169,ZNF133,Others,0,9,5
ZNF268,ZNF26,Others,6,5,12
ZNF280D,POGZ,Others,5,3,5
ZNF286B,ZNF286A,Others,2,5,2
ZNF354B,ZNF354A,Others,7,4,3
ZNF488,PRDM8,Others,3,2,4
ZNF513,ZNF142,Others,4,7,5
ZNF558,ZNF557,Others,1,7,5
ZNF581,ZNF524,Others,0,7,2
ZNF581,ZNF580,Others,4,8,8
ZNF611,ZNF600,Others,2,5,2
ZNF620,ZNF619,Others,0,7,4
ZNF627,ZNF136,Others,2,6,3
ZNF683,PRDM1,Others,5,10,5
ZNF764,ZNF747,Others,0,5,2
ZNF77,ZNF555,Others,0,9,5
ZNF785,ZNF764,Others,0,8,4
ZNRF2,ZNRF1,Others,12,3,2
ZSCAN29,ZKSCAN2,Others,1,6,3
ZSCAN30,ZSCAN21,Others,0,8,4
ZSWIM6,ZSWIM4,Others,2,0,2
AADACL2,AADAC,Others,3,10,2
AADACL4,AADACL3,Others,0,2,0
ABCC3,ABCC1,Others,14,21,17
ABCC9,ABCC8,Others,6,8,10
ABCD2,ABCD1,Others,16,21,28
ABCG4,ABCG1,Others,10,17,22
ABI2,ABI1,Others,14,15,11
ACSL5,ACSL1,Others,17,8,19
ACTG2,ACTA2,Others,12,0,6
ACTL6B,ACTL6A,Others,16,5,19
ACTL7B,ACTL7A,Others,10,4,0
ACTN4,ACTN2,Others,26,27,30
ACTRT2,ACTRT1,Others,3,2,3
ACVRL1,ACVR1,Others,12,28,73
ADAMTS18,ADAMTS16,Others,2,2,4
ADAMTS6,ADAMTS10,Others,4,5,3
ADARB2,ADARB1,Others,9,13,13
ADD3,ADD2,Others,12,8,11
ADNP2,ADNP,Others,6,5,2
AFAP1L2,AFAP1,Others,9,7,12
AFF4,AFF3,Others,10,1,6
AGBL3,AGBL2,Others,2,1,2
AGO2,AGO1,Others,28,26,41
AGO3,AGO2,Others,26,25,39
AGO4,AGO1,Others,17,12,27
AGR3,AGR2,Others,6,8,10
AIF1L,AIF1,Others,14,8,24
AIPL1,AIP,Others,9,8,5
AK5,AK1,Others,10,4,13
AKR7A3,AKR7A2,Others,6,7,7
ALDH1A3,ALDH1A2,Others,5,6,9
ALDH1L2,ALDH1L1,Others,7,6,2
ALG1L2,ALG1L,Others,2,2,2
ALG8,ALG6,Others,5,7,8
ALOX15,ALOX12,Others,16,17,39
AMELY,AMELX,Others,3,4,7
AMPD3,AMPD1,Others,7,5,8
ANGEL2,ANGEL1,Others,7,6,3
ANGPT2,ANGPT1,Others,12,7,33
ANGPTL2,ANGPTL1,Others,8,3,4
ANKRD13B,ANKRD13A,Others,12,4,3
ANKRD18B,ANKRD18A,Others,0,0,0
ANO2,ANO1,Others,10,12,12
ANO4,ANO3,Others,5,4,7
ANO6,ANO3,Others,12,8,25
ANTXR2,ANTXR1,Others,13,7,4
AOC3,AOC2,Others,15,13,11
AP1M2,AP1M1,Others,21,4,11
APBB3,APBB2,Others,8,7,3
APP,APLP2,Others,30,8,64
AQP12B,AQP12A,Others,2,2,0
ARFGAP3,ARFGAP2,Others,8,4,7
ARHGAP25,ARHGAP24,Others,5,3,13
ARHGAP26,ARHGAP10,Others,4,5,4
ARHGDIB,ARHGDIA,Others,13,7,16
ARNT2,ARNT,Others,14,21,18
ARRB1,ARR3,Others,17,12,26
ASAP3,ASAP2,Others,8,5,4
ASB15,ASB14,Others,2,1,2
ASIC2,ASIC1,Others,7,6,14
ATF6B,ATF6,Others,20,21,20
ATP11B,ATP11A,Others,23,7,6
ATP11C,ATP11B,Others,18,7,6
ATP13A5,ATP13A4,Others,2,0,4
ATP2C2,ATP2C1,Others,12,11,18
ATP6V0D2,ATP6V0D1,Others,21,4,15
ATP8A2,ATP8A1,Others,16,6,7
ATP8B2,ATP8B1,Others,18,6,12
ATP8B4,ATP8B1,Others,19,5,12
ATP9B,ATP9A,Others,12,3,6
ATRNL1,ATRN,Others,6,0,8
ATXN3L,ATXN3,Others,12,8,17
ATXN7L2,ATXN7,Others,5,1,6
B3GAT3,B3GAT1,Others,9,7,16
B4GALNT2,B4GALNT1,Others,3,7,10
B4GALT6,B4GALT5,Others,4,8,8
BARHL2,BARHL1,Others,4,9,2
BCL6B,BCL6,Others,8,11,24
BCL7B,BCL7A,Others,2,3,1
BECN2,BECN1,Others,11,6,25
BEST4,BEST2,Others,0,3,2
BEX2,BEX1,Others,5,5,7
BHLHE41,BHLHE40,Others,6,21,15
BHMT2,BHMT,Others,6,6,8
BIRC3,BIRC2,Others,12,21,56
BMP4,BMP2,Others,10,15,162
BNIPL,BNIP2,Others,8,7,10
BOD1L2,BOD1,Others,12,7,7
BRSK2,BRSK1,Others,15,13,26
BRWD3,BRWD1,Others,6,1,12
BTBD6,BTBD3,Others,3,2,5
BTF3L4,BTF3,Others,4,3,1
BTG2,BTG1,Others,11,3,16
BTNL8,BTNL3,Others,4,5,5
C1GALT1C1L,C1GALT1C1,Others,2,3,4
C1QTNF9B,C1QTNF9,Others,0,3,0
C2CD4B,C2CD4A,Others,1,0,6
CA11,CA10,Others,2,3,2
CA13,CA1,Others,6,9,5
CABP5,CABP2,Others,3,2,1
CACNA2D2,CACNA2D1,Others,8,6,11
CACNA2D4,CACNA2D3,Others,5,3,4
CACNG7,CACNG5,Others,8,7,16
CALB2,CALB1,Others,20,6,9
CALCRL,CALCR,Others,16,18,31
CALN1,CABP7,Others,2,2,0
CAMK2N2,CAMK2N1,Others,3,6,9
CAPN3,CAPN1,Others,14,14,26
CAPNS2,CAPNS1,Others,7,4,4
CASP5,CASP4,Others,12,8,12
CASQ2,CASQ1,Others,13,8,23
CAV3,CAV1,Others,33,28,78
CBR3,CBR1,Others,7,9,6
CCDC74B,CCDC74A,Others,0,1,0
CCDC85C,CCDC85B,Others,6,2,3
CCNJL,CCNJ,Others,8,3,4
CD200R1L,CD200R1,Others,6,6,3
CDC42EP3,CDC42EP2,Others,15,5,14
CDH4,CDH2,Others,24,9,17
CDK15,CDK14,Others,10,9,6
CDK2AP2,CDK2AP1,Others,4,3,2
CDKL4,CDKL1,Others,5,2,2
CDKN2B,CDKN2A,Others,7,8,31
CDRT15L2,CDRT15,Others,0,0,0
CDYL2,CDYL,Others,4,8,2
CEACAM4,CEACAM3,Others,4,1,3
CELF2,CELF1,Others,15,15,15
CELSR2,CELSR1,Others,3,0,3
CEP170B,CEP170,Others,5,1,0
CERS4,CERS2,Others,6,8,6
CETN2,CETN1,Others,15,4,16
CHAC2,CHAC1,Others,6,4,8
CHD7,CHD6,Others,5,4,16
CHD8,CHD6,Others,6,10,10
CHD8,CHD7,Others,9,10,24
CHD9,CHD8,Others,8,8,10
CHI3L2,CHI3L1,Others,8,5,12
CHIC2,CHIC1,Others,4,2,1
CHP2,CHP1,Others,8,6,17
CHPF2,CHPF,Others,3,6,5
CHRM4,CHRM2,Others,12,9,18
CHRNA7,CHRFAM7A,Others,12,16,28
CHRNA9,CHRNA10,Others,10,7,14
CHRNB3,CHRNA5,Others,9,8,16
CHRNB4,CHRNB2,Others,14,14,24
CHST3,CHST2,Others,8,7,12
CHST7,CHST2,Others,9,7,14
CIB3,CIB1,Others,19,9,20
CIB3,CIB2,Others,3,7,2
CKM,CKB,Others,6,7,5
CLCA4,CLCA1,Others,4,4,2
CLCNKB,CLCNKA,Others,4,3,6
CLDN4,CLDN15,Others,9,2,9
CLDN7,CLDN10,Others,6,2,5
CLDN8,CLDN17,Others,8,2,4
CLEC4M,CD209,Others,7,9,16
CLEC6A,CLEC4C,Others,5,4,3
CLGN,CANX,Others,10,4,12
CLIP4,CLIP3,Others,15,7,9
CLVS2,CLVS1,Others,10,6,2
CNN3,CNN1,Others,6,2,3
CNNM2,CNNM1,Others,6,4,4
COL4A6,COL4A2,Others,15,9,8
CORO2B,CORO2A,Others,2,6,6
CORO6,CORO1C,Others,6,5,22
COX6A2,COX6A1,Others,4,5,5
COX7B2,COX7B,Others,3,1,2
CPEB4,CPEB3,Others,20,15,8
CPLX2,CPLX1,Others,7,6,11
CPLX4,CPLX3,Others,4,3,4
CRABP2,CRABP1,Others,8,5,5
CRISP3,CRISP2,Others,8,1,1
CRP,APCS,Others,11,17,32
CRYBB3,CRYBB2,Others,0,5,4
CSDC2,CARHSP1,Others,2,5,3
CSGALNACT2,CSGALNACT1,Others,3,11,13
CSNK1A1L,CSNK1A1,Others,14,8,18
CSRNP2,CSRNP1,Others,5,10,3
CSRNP3,CSRNP1,Others,4,8,3
CSTB,CSTA,Others,21,10,9
CTDSPL,CTDSP2,Others,2,8,3
CTXN3,CTXN2,Others,0,1,0
CXCL6,CXCL5,Others,4,8,23
CXCR2,CXCR1,Others,14,14,29
CYP11B2,CYP11B1,Others,8,12,36
CYP26C1,CYP26B1,Others,3,11,10
CYP4Z1,CYP4X1,Others,0,1,0
CYTH4,CYTH3,Others,12,5,1
DAAM2,DAAM1,Others,9,2,4
DDR2,DDR1,Others,12,14,30
DDTL,DDT,Others,3,3,4
DDX3Y,DDX3X,Others,22,26,53
DDX50,DDX21,Others,10,13,4
DDX53,DDX43,Others,4,5,0
DDX60L,DDX60,Others,3,4,3
DEFB131B,DEFB131A,Others,3,1,0
DENND1C,DENND1B,Others,12,5,8
DENND4B,DENND4A,Others,6,3,3
DERL3,DERL2,Others,9,10,16
DHFR2,DHFR,Others,7,14,15
DIP2B,DIP2A,Others,7,2,2
DIP2C,DIP2B,Others,5,2,2
DIRAS2,DIRAS1,Others,4,11,0
DLG2,DLG1,Others,33,15,40
DLG3,DLG1,Others,31,15,39
DLG4,DLG2,Others,19,6,25
DLG4,DLG3,Others,17,6,24
DLX6,DLX1,Others,3,10,15
DNAH7,DNAH3,Others,6,7,5
DNAJB4,DNAJB1,Others,12,17,11
DNAJC18,DNAJB12,Others,6,3,10
DNAJC5B,DNAJC5,Others,10,2,4
DNASE2B,DNASE2,Others,1,3,3
DNM3,DNM1,Others,24,8,19
DOC2B,DOC2A,Others,3,1,3
DOCK4,DOCK3,Others,7,6,4
DOCK9,DOCK11,Others,3,3,3
DOK3,DOK1,Others,6,2,5
DPY19L2,DPY19L1,Others,4,2,4
DQX1,DHX32,Others,4,3,0
DRD5,DRD1,Others,14,13,27
DSCAML1,DSCAM,Others,9,5,13
DTNB,DTNA,Others,8,2,6
DTX2,DTX1,Others,9,7,9
DTX4,DTX1,Others,8,7,10
DTX4,DTX2,Others,5,4,5
DUSP2,DUSP1,Others,8,12,17
DUSP21,DUSP18,Others,5,6,4
E2F2,E2F1,Others,14,25,26
E2F5,E2F4,Others,13,19,6
EDDM3B,EDDM3A,Others,1,3,1
EFHC2,EFHC1,Others,9,5,11
EFHD2,EFHD1,Others,2,5,1
EFNB2,EFNB1,Others,10,5,18
EGLN2,EGLN1,Others,9,17,16
EGR2,EGR1,Others,10,27,15
EGR3,EGR1,Others,7,21,20
