gene1,gene2,type,similarity.BMA,similarity.rcmax
KCTD5,KCTD2,Others,0.654,0.75
KDM5B,KDM5A,Others,0.703,0.715
KMT2D,KMT2C,Others,0.665,0.683
LCORL,LCOR,Others,0.576,0.75
LDB2,LDB1,Others,0.671,0.708
LIN7C,LIN7B,Others,0.678,0.75
LMAN2L,LMAN2,Others,0.658,0.671
LMBR1L,LMBR1,Others,0.589,0.75
LMNB2,LMNB1,Others,0.455,0.507
MACF1,DST,Others,0.58,0.598
MAGOHB,MAGOH,Others,0.712,0.721
MANF,CDNF,Others,0.444,0.75
MAP3K3,MAP3K2,Others,0.573,0.605
MAPKAPK3,MAPKAPK2,Others,0.686,0.738
MAT2A,MAT1A,Others,0.68,0.695
MBTD1,L3MBTL2,Others,0.654,0.714
MED12L,MED12,Others,0.524,0.75
METTL2B,METTL2A,Others,0.714,0.75
MKNK2,MKNK1,Others,0.723,0.735
MMD2,MMD,Others,0.57,0.674
MORF4L2,MORF4L1,Others,0.7,0.708
MRFAP1L1,MRFAP1,Others,0.5,0.625
MTHFD2L,MTHFD2,Others,0.575,0.75
MYEF2,HNRNPM,Others,0.549,0.654
MYL6B,MYL6,Others,0.688,0.727
MZT2B,MZT2A,Others,0.75,0.75
NAA11,NAA10,Others,0.629,0.692
NAA16,NAA15,Others,0.683,0.731
NAP1L4,NAP1L1,Others,0.638,0.678
NAPB,NAPA,Others,0.655,0.75
NBEAL2,NBEAL1,Others,0.519,0.75
NCKAP1L,NCKAP1,Others,0.65,0.685
NFIC,NFIA,Others,0.675,0.692
NIPSNAP2,NIPSNAP1,Others,0.529,0.672
NKAPL,NKAP,Others,0.5,0.75
NKIRAS2,NKIRAS1,Others,0.5,0.75
NMT2,NMT1,Others,0.705,0.718
NOVA2,NOVA1,Others,0.6,0.75
NPAS2,CLOCK,Others,0.693,0.706
NT5DC3,NT5DC2,Others,0.5,0.75
NUCB2,NUCB1,Others,0.639,0.688
NUP210L,NUP210,Others,0.154,0.75
NXT2,NXT1,Others,0.639,0.75
PAPSS2,PAPSS1,Others,0.653,0.714
PARD3B,PARD3,Others,0.62,0.732
PCCB,MCCC2,Others,0.607,0.664
PGK2,PGK1,Others,0.55,0.694
PGM5,PGM1,Others,0.423,0.535
PHF20L1,PHF20,Others,0.527,0.75
PHIP,BRWD1,Others,0.596,0.649
PLCD4,PLCD1,Others,0.638,0.656
PNMA1,MOAP1,Others,0.382,0.65
PPIP5K2,PPIP5K1,Others,0.713,0.729
PPM1B,PPM1A,Others,0.677,0.706
PPP3CB,PPP3CA,Others,0.688,0.704
PRAF2,ARL6IP5,Others,0.333,0.75
PRDM16,MECOM,Others,0.664,0.667
PRKAB2,PRKAB1,Others,0.708,0.714
PRPF40B,PRPF40A,Others,0.528,0.75
PURB,PURA,Others,0.672,0.719
PUS7L,PUS7,Others,0.526,0.688
PXDNL,PXDN,Others,0.347,0.75
R3HDM2,R3HDM1,Others,0.583,0.75
RAD23B,RAD23A,Others,0.668,0.722
RALGAPA2,RALGAPA1,Others,0.5,0.583
RALGPS2,RALGPS1,Others,0.125,0.25
RAPGEF6,RAPGEF2,Others,0.59,0.692
RBPJL,RBPJ,Others,0.513,0.745
RPL10L,RPL10,Others,0.547,0.699
RPL3L,RPL3,Others,0.566,0.679
RPS6KB2,RPS6KB1,Others,0.629,0.742
RSBN1L,RSBN1,Others,0.75,0.75
SAMD4B,SAMD4A,Others,0.723,0.75
SEC61A2,SEC61A1,Others,0.569,0.646
SFXN2,SFXN1,Others,0.708,0.75
SGTB,SGTA,Others,0.577,0.75
SIRT3,SIRT2,Others,0.582,0.616
SLC11A2,SLC11A1,Others,0.573,0.593
SLC25A2,SLC25A15,Others,0.694,0.75
SLC25A36,SLC25A33,Others,0.571,0.688
SLC41A3,SLC41A1,Others,0.444,0.75
SMARCA5,SMARCA1,Others,0.638,0.676
SNRPN,SNRPB,Others,0.67,0.75
SNX2,SNX1,Others,0.73,0.75
STRIP2,STRIP1,Others,0.639,0.687
STX6,STX10,Others,0.701,0.736
TAF1L,TAF1,Others,0.58,0.674
TAF9B,TAF9,Others,0.647,0.712
TBC1D22B,TBC1D22A,Others,0.727,0.75
TBPL2,TBP,Others,0.492,0.7
TIGD2,JRKL,Others,0.6,0.75
TIMM23B,TIMM23,Others,0.499,0.539
TMED5,TMED1,Others,0.667,0.687
TMED9,TMED4,Others,0.516,0.695
TMEM30B,TMEM30A,Others,0.636,0.75
TMEM50B,TMEM50A,Others,0.588,0.75
TMEM63B,TMEM63A,Others,0.458,0.688
TMEM9B,TMEM9,Others,0.206,0.566
TOM1L2,TOM1,Others,0.616,0.705
TOMM40L,TOMM40,Others,0.525,0.552
TOR1B,TOR1A,Others,0.619,0.728
TPST2,TPST1,Others,0.705,0.725
TRAPPC3L,TRAPPC3,Others,0.681,0.696
TRIM33,TRIM24,Others,0.569,0.629
TRIO,KALRN,Others,0.592,0.622
TRIP10,FNBP1L,Others,0.598,0.599
TST,MPST,Others,0.59,0.627
TTC30B,TTC30A,Others,0.622,0.75
TWF2,TWF1,Others,0.639,0.688
TYK2,JAK1,Others,0.667,0.732
UBTD2,UBTD1,Others,0.75,0.75
UCK2,UCK1,Others,0.625,0.75
UGGT2,UGGT1,Others,0.718,0.75
UNC45B,UNC45A,Others,0.475,0.75
UQCRC1,PMPCB,Others,0.557,0.592
USP28,USP25,Others,0.646,0.664
USP33,USP20,Others,0.674,0.75
USP4,USP15,Others,0.659,0.676
USP46,USP12,Others,0.667,0.75
USP5,USP13,Others,0.663,0.719
UTP14C,UTP14A,Others,0.615,0.75
UTRN,DMD,Others,0.583,0.585
VANGL2,VANGL1,Others,0.571,0.75
VPS26B,VPS26A,Others,0.561,0.75
WDFY2,WDFY1,Others,0.589,0.595
