gene1,gene2,type,similarity.BMA,similarity.rcmax
CPLX4,CPLX3,Others,0.705,0.75
CRABP2,CRABP1,Others,0.556,0.722
CRISP3,CRISP2,Others,0.325,0.75
CRP,APCS,Others,0.602,0.647
CRYBB3,CRYBB2,Others,0.722,0.75
CSDC2,CARHSP1,Others,0.678,0.75
CSGALNACT2,CSGALNACT1,Others,0.661,0.67
CSNK1A1L,CSNK1A1,Others,0.525,0.75
CSRNP2,CSRNP1,Others,0.654,0.688
CSRNP3,CSRNP1,Others,0.652,0.683
CSTB,CSTA,Others,0.604,0.633
CTDSPL,CTDSP2,Others,0.508,0.51
CXCL6,CXCL5,Others,0.733,0.739
CXCR2,CXCR1,Others,0.695,0.738
CYP11B2,CYP11B1,Others,0.724,0.732
CYP26C1,CYP26B1,Others,0.667,0.75
CYTH4,CYTH3,Others,0.639,0.688
DAAM2,DAAM1,Others,0.341,0.561
DDR2,DDR1,Others,0.702,0.713
DDTL,DDT,Others,0.175,0.75
DDX3Y,DDX3X,Others,0.476,0.722
DDX50,DDX21,Others,0.546,0.714
DDX53,DDX43,Others,0.361,0.583
DEFB131B,DEFB131A,Others,0.5,0.75
DENND1C,DENND1B,Others,0.633,0.659
DENND4B,DENND4A,Others,0.667,0.679
DERL3,DERL2,Others,0.7,0.74
DHFR2,DHFR,Others,0.649,0.701
DIP2B,DIP2A,Others,0.417,0.458
DIP2C,DIP2B,Others,0.5,0.667
DIRAS2,DIRAS1,Others,0.75,0.75
DLG2,DLG1,Others,0.599,0.727
DLG3,DLG1,Others,0.585,0.708
DLG4,DLG2,Others,0.679,0.7
DLG4,DLG3,Others,0.644,0.662
DLX6,DLX1,Others,0.59,0.641
DNAH7,DNAH3,Others,0.582,0.75
DNAJB4,DNAJB1,Others,0.639,0.719
DNAJC18,DNAJB12,Others,0.566,0.75
DNAJC5B,DNAJC5,Others,0.094,0.75
DNASE2B,DNASE2,Others,0.52,0.75
DNM3,DNM1,Others,0.688,0.75
DOCK4,DOCK3,Others,0.503,0.566
DOCK9,DOCK11,Others,0.589,0.75
DOK3,DOK1,Others,0.509,0.556
DPY19L2,DPY19L1,Others,0.627,0.688
DQX1,DHX32,Others,0.679,0.75
DRD5,DRD1,Others,0.688,0.732
DSCAML1,DSCAM,Others,0.638,0.654
DTNB,DTNA,Others,0.528,0.75
DTX2,DTX1,Others,0.571,0.714
DTX4,DTX1,Others,0.572,0.685
DTX4,DTX2,Others,0.556,0.571
DUSP2,DUSP1,Others,0.67,0.714
DUSP21,DUSP18,Others,0.689,0.75
E2F2,E2F1,Others,0.614,0.694
E2F5,E2F4,Others,0.671,0.7
EDDM3B,EDDM3A,Others,0.35,0.5
EFHC2,EFHC1,Others,0.648,0.682
EFHD2,EFHD1,Others,0.344,0.5
EFNB2,EFNB1,Others,0.688,0.729
EGLN2,EGLN1,Others,0.689,0.704
EGR2,EGR1,Others,0.643,0.685
EGR3,EGR1,Others,0.6,0.642
EIF4E1B,EIF4E,Others,0.352,0.75
ELAVL2,ELAVL1,Others,0.487,0.729
ELF4,ELF2,Others,0.694,0.699
ELMO2,ELMO1,Others,0.604,0.689
ELMO3,ELMO2,Others,0.459,0.75
ELMOD2,ELMOD1,Others,0.542,0.75
ELOVL5,ELOVL2,Others,0.714,0.75
ELOVL7,ELOVL1,Others,0.713,0.733
EML2,EML1,Others,0.667,0.686
EML4,EML1,Others,0.57,0.613
EML6,EML5,Others,0.35,0.75
EMX2,EMX1,Others,0.73,0.75
ENO3,ENO2,Others,0.73,0.75
ENTPD4,ENTPD1,Others,0.531,0.578
EPB41L5,EPB41L4B,Others,0.583,0.643
EPS8L2,EPS8,Others,0.634,0.75
ESRRG,ESRRA,Others,0.667,0.75
ESRRG,ESRRB,Others,0.696,0.7
ETS2,ETS1,Others,0.613,0.656
ETV5,ETV1,Others,0.672,0.72
EXOC3L2,EXOC3L1,Others,0.718,0.75
EYA3,EYA1,Others,0.724,0.73
EYA4,EYA3,Others,0.644,0.75
FAM118B,FAM118A,Others,0.75,0.75
FAM120C,FAM120A,Others,0.625,0.75
FAM133B,FAM133A,Others,0.25,0.25
FAM13C,FAM13A,Others,0,0
FAM209B,FAM209A,Others,0.333,0.75
FAM3D,FAM3A,Others,0.472,0.63
FAM9C,FAM9B,Others,0.694,0.75
FAP,DPP4,Others,0.632,0.673
FARP2,FARP1,Others,0.478,0.508
FAT2,FAT1,Others,0.493,0.579
FAT3,FAT1,Others,0.197,0.75
FBLN2,FBLN1,Others,0.485,0.588
FBP2,FBP1,Others,0.636,0.733
FBXO27,FBXO17,Others,0.75,0.75
FBXW10,CDRT1,Others,0.233,0.282
FBXW11,BTRC,Others,0.661,0.681
FCGR1B,FCGR1A,Others,0.693,0.75
FCGR3B,FCGR3A,Others,0.684,0.686
FCN2,FCN1,Others,0.637,0.672
FEM1C,FEM1A,Others,0.684,0.714
FES,FER,Others,0.676,0.681
FGF14,FGF13,Others,0.654,0.75
FGF4,FGF2,Others,0.642,0.736
FHL2,FHL1,Others,0.527,0.551
FLNC,FLNB,Others,0.634,0.64
FLVCR2,FLVCR1,Others,0.541,0.75
FOSL1,FOS,Others,0.623,0.709
FOXP2,FOXP1,Others,0.605,0.648
FOXR2,FOXR1,Others,0.688,0.75
FRAT2,FRAT1,Others,0.528,0.55
FRMD5,FRMD3,Others,0.507,0.75
FSD1L,FSD1,Others,0.273,0.273
FSTL5,FSTL4,Others,0.6,0.75
FUCA2,FUCA1,Others,0.678,0.717
FUT2,FUT1,Others,0.606,0.65
FXR1,FMR1,Others,0.676,0.734
FZD6,FZD3,Others,0.701,0.703
GABBR2,GABBR1,Others,0.713,0.746
GABRG3,GABRG2,Others,0.725,0.75
GAD2,GAD1,Others,0.663,0.75
GALNT6,GALNT3,Others,0.628,0.676
GALNTL6,GALNT10,Others,0.649,0.74
GALR3,GALR2,Others,0.716,0.739
GAPDHS,GAPDH,Others,0.509,0.741
GAS2L3,GAS2,Others,0.599,0.688
GGA3,GGA2,Others,0.651,0.725
GLB1L3,GLB1L2,Others,0.65,0.75
GLS2,GLS,Others,0.712,0.718
GLUD2,GLUD1,Others,0.636,0.743
GMFG,GMFB,Others,0.635,0.717
GMPR2,GMPR,Others,0.48,0.67
GNAI3,GNAI1,Others,0.695,0.709
GNAI3,GNAI2,Others,0.7,0.705
GOLGA7B,GOLGA7,Others,0.516,0.708
GOLGB1,EEA1,Others,0.542,0.558
GOLGB1,GOLGA4,Others,0.576,0.585
GPAT4,GPAT3,Others,0.653,0.672
GPBP1L1,GPBP1,Others,0.583,0.75
GPC6,GPC4,Others,0.722,0.75
GPR85,GPR27,Others,0.644,0.746
GPRC5C,GPRC5B,Others,0.663,0.667
GPX2,GPX1,Others,0.46,0.708
GRAMD1C,GRAMD1A,Others,0.214,0.75
GREB1L,GREB1,Others,0.421,0.55
GREM2,GREM1,Others,0.447,0.631
GRHL2,GRHL1,Others,0.661,0.674
GRID2,GRID1,Others,0.611,0.694
GRIK5,GRIK4,Others,0.678,0.687
GRIN2B,GRIN2A,Others,0.722,0.725
GRM3,GRM2,Others,0.722,0.74
GRM5,GRM1,Others,0.668,0.722
GSPT2,GSPT1,Others,0.697,0.75
GSTO2,GSTO1,Others,0.655,0.725
HACD2,HACD1,Others,0.659,0.75
HAND2,HAND1,Others,0.617,0.62
HCN3,HCN2,Others,0.666,0.75
HCRTR2,HCRTR1,Others,0.74,0.75
HDAC9,HDAC5,Others,0.684,0.703
HDGFL1,HDGF,Others,0.472,0.75
HECW2,HECW1,Others,0.658,0.684
HELZ2,HELZ,Others,0.572,0.656
HEPH,CP,Others,0.561,0.604
HEPHL1,HEPH,Others,0.684,0.75
HERPUD2,HERPUD1,Others,0.373,0.75
HIF3A,EPAS1,Others,0.619,0.719
HIF3A,HIF1A,Others,0.524,0.719
HIGD1C,HIGD1A,Others,0.441,0.5
HKDC1,HK1,Others,0.625,0.75
HMGN4,HMGN2,Others,0.558,0.75
HNF4G,HNF4A,Others,0.613,0.694
HOOK3,HOOK1,Others,0.718,0.75
HOXB5,HOXA5,Others,0.654,0.661
HOXB6,HOXA6,Others,0.675,0.7
HOXC9,HOXB9,Others,0.731,0.732
HPR,HP,Others,0.667,0.727
HSD17B13,HSD17B11,Others,0.661,0.671
HSD3B2,HSD3B1,Others,0.682,0.72
HSF4,HSF1,Others,0.545,0.729
HSPA12B,HSPA12A,Others,0.35,0.75
HSPA4L,HSPA4,Others,0.523,0.75
HTN3,HTN1,Others,0.75,0.75
HTR1D,HTR1B,Others,0.712,0.733
HTR1F,HTR1E,Others,0.727,0.75
HTRA3,HTRA2,Others,0.386,0.7
HTRA4,HTRA2,Others,0.368,0.688
HYAL4,HYAL1,Others,0.376,0.74
IFIT3,IFIT2,Others,0.668,0.679
IGF2BP2,IGF2BP1,Others,0.704,0.731
IGF2BP3,IGF2BP2,Others,0.739,0.74
IGFL3,IGFL2,Others,0.75,0.75
IKZF3,IKZF1,Others,0.642,0.645
IL1RAPL2,IL1RAPL1,Others,0.627,0.689
IL36G,IL36A,Others,0.741,0.75
IL6ST,CSF3R,Others,0.503,0.673
INSIG2,INSIG1,Others,0.712,0.75
INSR,IGF1R,Others,0.669,0.677
INTS6L,INTS6,Others,0.406,0.75
IQGAP3,IQGAP2,Others,0.543,0.694
IRF9,IRF8,Others,0.721,0.727
ISL2,ISL1,Others,0.676,0.695
ITGA5,ITGA2B,Others,0.558,0.635
ITGB5,ITGB3,Others,0.607,0.696
ITGB6,ITGB1,Others,0.573,0.684
ITIH3,ITIH1,Others,0.528,0.562
ITK,BTK,Others,0.674,0.719
ITLN2,ITLN1,Others,0.339,0.75
ITM2C,ITM2B,Others,0.644,0.69
ITPR2,ITPR1,Others,0.688,0.698
ITPR3,ITPR1,Others,0.703,0.721
ITPR3,ITPR2,Others,0.693,0.721
JAK3,JAK2,Others,0.646,0.687
JAM2,F11R,Others,0.565,0.662
KCNAB2,KCNAB1,Others,0.662,0.671
KCNAB3,KCNAB2,Others,0.622,0.731
KCNB2,KCNB1,Others,0.573,0.67
KCNC4,KCNC1,Others,0.703,0.713
KCNH5,KCNH1,Others,0.591,0.688
KCNIP3,KCNIP2,Others,0.583,0.648
KCNJ15,KCNJ10,Others,0.735,0.75
KCNJ8,KCNJ11,Others,0.633,0.691
KCNK13,KCNK12,Others,0.694,0.75
KCNK9,KCNK3,Others,0.649,0.743
KCNS3,KCNS2,Others,0.609,0.663
KCTD15,KCTD1,Others,0.224,0.75
KCTD20,BTBD10,Others,0.5,0.75
KDM5D,KDM5C,Others,0.701,0.714
KHDRBS3,KHDRBS2,Others,0.6,0.714
KHSRP,FUBP1,Others,0.621,0.719
KHSRP,FUBP3,Others,0.591,0.699
KIAA0319L,KIAA0319,Others,0.402,0.667
KIF1B,KIF1A,Others,0.712,0.714
KIF21B,KIF21A,Others,0.65,0.75
KIF2B,KIF2A,Others,0.646,0.695
KIF3C,KIF3B,Others,0.647,0.733
KIF4B,KIF4A,Others,0.651,0.75
KIF5B,KIF5A,Others,0.597,0.627
KLHDC8B,KLHDC8A,Others,0,0
KLHL25,ENC1,Others,0.656,0.697
KLHL36,KLHL26,Others,0.4,0.75
KLHL5,KLHL4,Others,0.477,0.5
KLHL9,KLHL13,Others,0.724,0.75
KPNA6,KPNA5,Others,0.588,0.595
KPNA7,KPNA2,Others,0.57,0.75
KREMEN2,KREMEN1,Others,0.435,0.519
LAMB2,LAMB1,Others,0.676,0.725
LAMP2,LAMP1,Others,0.663,0.681
LARGE2,LARGE1,Others,0.695,0.705
LCE3E,LCE3D,Others,0.375,0.75
LCP2,BLNK,Others,0.62,0.642
LDHB,LDHA,Others,0.671,0.694
LDHD,D2HGDH,Others,0.458,0.488
LEFTY2,LEFTY1,Others,0.674,0.75
LGALS8,LGALS12,Others,0.573,0.632
LGI2,LGI1,Others,0.219,0.75
LGR6,LGR5,Others,0.582,0.594
LHFPL6,LHFPL1,Others,0.5,0.75
LHX4,LHX3,Others,0.68,0.692
LHX5,LHX1,Others,0.712,0.75
LHX8,LHX6,Others,0.75,0.75
LHX9,LHX2,Others,0.721,0.75
LINGO2,LINGO1,Others,0.438,0.75
LLGL2,LLGL1,Others,0.674,0.679
LMO3,LMO1,Others,0.431,0.469
LMX1B,LMX1A,Others,0.733,0.74
LPCAT2,LPCAT1,Others,0.645,0.667
LPL,LIPG,Others,0.62,0.68
LRCH2,LRCH1,Others,0.167,0.75
LRCH3,LRCH2,Others,0.25,0.75
LRCH4,LRCH1,Others,0.464,0.505
LRP1B,LRP1,Others,0.48,0.617
LRP6,LRP5,Others,0.637,0.668
LRRFIP2,LRRFIP1,Others,0.314,0.445
LRRTM4,LRRTM3,Others,0.389,0.75
LYN,HCK,Others,0.642,0.656
LYPLA2,LYPLA1,Others,0.667,0.693
MAB21L2,MAB21L1,Others,0.529,0.705
MAGI3,MAGI2,Others,0.6,0.7
MAML3,MAML1,Others,0.662,0.731
MANEAL,MANEA,Others,0.571,0.75
MAOB,MAOA,Others,0.605,0.609
MAP2K6,MAP2K3,Others,0.657,0.712
MAP3K13,MAP3K12,Others,0.606,0.626
MAP3K5,MAP3K15,Others,0.388,0.75
MAPRE3,MAPRE1,Others,0.66,0.732
MARK3,MARK2,Others,0.664,0.705
MARK4,MARK2,Others,0.619,0.619
MAST2,MAST1,Others,0.644,0.669
MAST4,MAST3,Others,0.694,0.75
MATK,CSK,Others,0.612,0.706
MBOAT2,MBOAT1,Others,0.721,0.75
MCAM,BCAM,Others,0.415,0.517
MCOLN2,MCOLN1,Others,0.474,0.75
MDGA2,MDGA1,Others,0.317,0.75
ME3,ME1,Others,0.629,0.68
MEF2C,MEF2A,Others,0.675,0.686
MEGF11,MEGF10,Others,0.103,0.5
METAP1D,METAP1,Others,0.59,0.65
METRNL,METRN,Others,0.573,0.657
METTL7B,METTL7A,Others,0.25,0.75
MFGE8,EDIL3,Others,0.578,0.7
MFSD2B,MFSD2A,Others,0.487,0.672
MGAT4B,MGAT4A,Others,0.675,0.688
MICB,MICA,Others,0.655,0.705
MID2,MID1,Others,0.57,0.605
MIER3,MIER1,Others,0.656,0.75
MMEL1,MME,Others,0.481,0.679
MOGAT2,MOGAT1,Others,0.622,0.719
MPP4,MPP3,Others,0.188,0.75
MPPED2,MPPED1,Others,0.125,0.25
MSI2,MSI1,Others,0.615,0.625
MST1R,MET,Others,0.65,0.691
MSTN,GDF11,Others,0.642,0.655
MTHFD1L,MTHFD1,Others,0.63,0.678
MTMR8,MTMR7,Others,0.677,0.732
MTNR1B,MTNR1A,Others,0.612,0.65
MTRF1L,MTRF1,Others,0.676,0.718
MX2,MX1,Others,0.711,0.719
MXI1,MXD3,Others,0.56,0.75
MYL6B,MYL3,Others,0.518,0.568
MYO1B,MYO1A,Others,0.646,0.673
MYO1F,MYO1E,Others,0.626,0.698
MYO1G,MYO1D,Others,0.704,0.714
MYO1H,MYO1C,Others,0.491,0.75
MYO7B,MYO7A,Others,0.648,0.722
MYO9B,MYO9A,Others,0.447,0.639
MYOF,DYSF,Others,0.608,0.706
NAAA,ASAH1,Others,0.586,0.61
NAALAD2,FOLH1,Others,0.493,0.625
NAT2,NAT1,Others,0.694,0.75
NAV3,NAV2,Others,0.413,0.5
NCOA2,NCOA1,Others,0.703,0.722
NCOA3,NCOA1,Others,0.688,0.692
NCOA3,NCOA2,Others,0.663,0.684
NDUFA4L2,NDUFA4,Others,0.438,0.75
NEDD4L,NEDD4,Others,0.659,0.689
NEDD9,BCAR1,Others,0.668,0.676
NEDD9,CASS4,Others,0.664,0.722
NEK7,NEK6,Others,0.566,0.575
NELL2,NELL1,Others,0.412,0.75
NEO1,DCC,Others,0.493,0.525
NFATC3,NFATC1,Others,0.698,0.712
NFATC3,NFATC2,Others,0.692,0.694
NFATC4,NFATC3,Others,0.694,0.735
NFE2L2,NFE2,Others,0.572,0.64
NFE2L2,NFE2L1,Others,0.569,0.719
NFIB,NFIA,Others,0.675,0.692
NFIX,NFIA,Others,0.655,0.673
NFIX,NFIB,Others,0.646,0.651
NHLH2,NHLH1,Others,0.704,0.705
NINL,NIN,Others,0.551,0.595
NIPAL1,NIPA2,Others,0.75,0.75
NIPSNAP3B,NIPSNAP3A,Others,0.438,0.75
NIT2,NIT1,Others,0.141,0.5
NLRP7,NLRP2,Others,0.463,0.507
NMI,IFI35,Others,0.714,0.717
NOL4L,NOL4,Others,0.125,0.25
NPBWR2,NPBWR1,Others,0.743,0.75
NPR2,NPR1,Others,0.689,0.702
NPTX2,NPTX1,Others,0.492,0.5
NR1H3,NR1H2,Others,0.696,0.717
NR3C1,AR,Others,0.665,0.683
NR5A2,NR5A1,Others,0.661,0.706
NRBP2,NRBP1,Others,0.572,0.621
NTN3,NTN1,Others,0.598,0.611
NTNG2,NTNG1,Others,0.659,0.673
NTRK2,NTRK1,Others,0.681,0.683
NXPH2,NXPH1,Others,0.583,0.75
OBP2B,OBP2A,Others,0.675,0.675
OCM2,OCM,Others,0.679,0.75
OGDHL,OGDH,Others,0.546,0.75
ORMDL2,ORMDL1,Others,0.735,0.75
OSBP2,OSBP,Others,0.581,0.7
OSBPL11,OSBPL10,Others,0.594,0.603
OSBPL8,OSBPL5,Others,0.716,0.734
OSGIN2,OSGIN1,Others,0.554,0.688
OTUB2,OTUB1,Others,0.695,0.745
OTUD6B,OTUD6A,Others,0.644,0.693
OTUD7B,OTUD7A,Others,0.706,0.75
OXCT2,OXCT1,Others,0.706,0.719
OXT,AVP,Others,0.556,0.719
P2RX4,P2RX1,Others,0.555,0.671
P2RX4,P2RX2,Others,0.565,0.664
P2RY1,OXGR1,Others,0.448,0.688
P2RY4,P2RY2,Others,0.7,0.702
P4HA2,P4HA1,Others,0.618,0.667
PAIP2B,PAIP2,Others,0.714,0.75
PANX3,PANX1,Others,0.497,0.75
PARVB,PARVA,Others,0.69,0.706
PAX7,PAX3,Others,0.677,0.732
PBX4,PBX1,Others,0.603,0.708
PCBP3,PCBP2,Others,0.541,0.75
PCED1B,PCED1A,Others,0.75,0.75
PCGF3,PCGF1,Others,0.69,0.748
PCK2,PCK1,Others,0.669,0.697
PCSK4,FURIN,Others,0.506,0.75
PCYOX1L,PCYOX1,Others,0.465,0.469
PCYT1B,PCYT1A,Others,0.679,0.722
PDE1B,PDE1A,Others,0.605,0.75
PDE4B,PDE4A,Others,0.66,0.672
PDE6H,PDE6G,Others,0.694,0.75
PDE7B,PDE7A,Others,0.722,0.726
PDHA2,PDHA1,Others,0.74,0.75
PDHB,BCKDHB,Others,0.526,0.533
PDLIM5,LDB3,Others,0.692,0.712
PEAR1,MEGF10,Others,0.181,0.5
PER2,PER1,Others,0.684,0.75
PEX11B,PEX11A,Others,0.661,0.672
PF4V1,PF4,Others,0.483,0.75
PFKFB3,PFKFB2,Others,0.732,0.75
PFKFB4,PFKFB3,Others,0.717,0.75
PGLYRP4,PGLYRP3,Others,0.696,0.75
PGM2L1,PGM2,Others,0.575,0.621
PGR,NR3C1,Others,0.636,0.665
PHACTR4,PHACTR2,Others,0.451,0.675
PHC3,PHC1,Others,0.741,0.75
PHC3,PHC2,Others,0.73,0.731
PHF19,MTF2,Others,0.699,0.7
PHF19,PHF1,Others,0.706,0.75
PHKA2,PHKA1,Others,0.687,0.738
PHKG2,PHKG1,Others,0.511,0.75
PHOX2B,PHOX2A,Others,0.691,0.714
PHYHIPL,PHYHIP,Others,0.607,0.667
PIAS2,PIAS1,Others,0.693,0.694
PIAS3,PIAS1,Others,0.707,0.724
PIK3C2B,PIK3C2A,Others,0.658,0.708
PIK3CD,PIK3CB,Others,0.683,0.686
PILRB,PILRA,Others,0.672,0.74
PKM,PKLR,Others,0.601,0.75
PKNOX2,PKNOX1,Others,0.614,0.679
PKP3,PKP1,Others,0.678,0.694
PKP4,CTNND2,Others,0.624,0.649
PLA2G2E,PLA2G2A,Others,0.654,0.717
PLA2G7,PAFAH2,Others,0.465,0.657
PLBD2,PLBD1,Others,0.503,0.55
PLCB3,PLCB1,Others,0.664,0.703
PLCG2,PLCG1,Others,0.607,0.675
PLEKHB2,PLEKHB1,Others,0.719,0.75
PLEKHG4B,ARHGEF40,Others,0,0
PLOD2,PLOD1,Others,0.679,0.724
PLOD3,PLOD1,Others,0.677,0.684
PLPP5,PLPP4,Others,0.682,0.719
PLPPR5,PLPPR1,Others,0.679,0.75
PLS3,LCP1,Others,0.597,0.724
PLS3,PLS1,Others,0.604,0.625
PMEPA1,LDLRAD4,Others,0.686,0.717
PMS1,MLH3,Others,0.679,0.679
PNPLA7,PNPLA6,Others,0.475,0.75
POLL,POLB,Others,0.652,0.718
PON2,PON1,Others,0.584,0.679
PPFIA3,PPFIA1,Others,0.655,0.719
PPP1R12B,PPP1R12A,Others,0.515,0.709
PPP1R14C,PPP1R14B,Others,0.583,0.75
PPP2CB,PPP2CA,Others,0.596,0.75
PPP2R2C,PPP2R2B,Others,0.75,0.75
PPP3CC,PPP3CA,Others,0.621,0.732
PPP3R2,PPP3R1,Others,0.212,0.75
PREX2,PREX1,Others,0.661,0.75
PRICKLE2,PRICKLE1,Others,0.268,0.5
PRICKLE3,PRICKLE2,Others,0,0
PRKAA2,PRKAA1,Others,0.682,0.707
PRKAR2B,PRKAR2A,Others,0.705,0.723
PRKCH,PRKCE,Others,0.675,0.679
PRKCZ,PRKCI,Others,0.635,0.641
PRMT8,PRMT1,Others,0.604,0.662
PROKR2,PROKR1,Others,0.675,0.75
PROS1,GAS6,Others,0.574,0.653
PRRX2,PRRX1,Others,0.645,0.714
PRSS41,PRSS21,Others,0.519,0.667
PRTFDC1,HPRT1,Others,0.198,0.667
PRTN3,ELANE,Others,0.63,0.639
PSKH2,PSKH1,Others,0.375,0.75
PSMA8,PSMA7,Others,0.72,0.75
PSMB7,PSMB10,Others,0.716,0.745
PSMB8,PSMB5,Others,0.731,0.735
PTBP3,PTBP1,Others,0.591,0.719
PTH2R,PTH1R,Others,0.64,0.75
PTK2B,PTK2,Others,0.663,0.689
PTPN2,PTPN1,Others,0.637,0.661
PTPN21,PTPN14,Others,0.528,0.75
PTPN6,PTPN11,Others,0.644,0.648
PTPRE,PTPRA,Others,0.634,0.679
PWWP2B,PWWP2A,Others,0.583,0.625
PZP,A2M,Others,0.511,0.718
R3HDML,PI15,Others,0.438,0.75
RAB27B,RAB27A,Others,0.652,0.672
RAB2B,RAB2A,Others,0.544,0.704
RAB31,RAB22A,Others,0.659,0.677
RAB33B,RAB33A,Others,0.589,0.706
RAB37,RAB26,Others,0.455,0.483
RAB39B,RAB39A,Others,0.597,0.627
RABGAP1L,RABGAP1,Others,0.558,0.646
RAF1,ARAF,Others,0.625,0.642
RASA3,RASA2,Others,0.594,0.75
RASD2,RASD1,Others,0.25,0.5
RASGEF1B,RASGEF1A,Others,0.333,0.75
RASGRF2,RASGRF1,Others,0.675,0.733
RASL10B,RASL10A,Others,0,0
RASSF4,RASSF2,Others,0.308,0.75
RASSF5,RASSF1,Others,0.576,0.75
RBFOX2,RBFOX1,Others,0.585,0.659
RBM3,CIRBP,Others,0.636,0.673
RCAN3,RCAN2,Others,0.537,0.65
RCOR3,RCOR2,Others,0.688,0.75
RDH12,RDH11,Others,0.632,0.66
REEP6,REEP5,Others,0.507,0.507
REG1B,REG1A,Others,0.724,0.75
RELA,REL,Others,0.628,0.737
RELB,REL,Others,0.707,0.715
RFNG,LFNG,Others,0.553,0.625
RGS19,RGS17,Others,0.699,0.75
RGS7,RGS6,Others,0.691,0.696
RHBDL3,RHBDL1,Others,0.292,0.75
RHD,RHCE,Others,0.75,0.75
RHEBL1,RHEB,Others,0.593,0.702
RLN2,RLN1,Others,0,0
RMND5B,RMND5A,Others,0.706,0.714
RNASE3,RNASE2,Others,0.68,0.693
RNF113B,RNF113A,Others,0.381,0.75
RNF175,RNF121,Others,0.705,0.75
RNF40,RNF20,Others,0.681,0.703
RNFT2,RNFT1,Others,0.306,0.75
ROPN1B,ROPN1,Others,0.629,0.643
ROR2,ROR1,Others,0.687,0.708
RPEL1,RPE,Others,0.622,0.75
RPL26L1,RPL26,Others,0.5,0.75
RPL39L,RPL39,Others,0.335,0.422
RPS6KA5,RPS6KA4,Others,0.733,0.74
RRAS,KRAS,Others,0.666,0.676
RTP2,RTP1,Others,0.721,0.75
RUNX2,RUNX1,Others,0.672,0.699
S100Z,S100A1,Others,0.48,0.676
SALL3,SALL1,Others,0.415,0.75
SAMD9L,SAMD9,Others,0.5,0.75
SATB2,SATB1,Others,0.68,0.726
SCAMP5,SCAMP4,Others,0.505,0.75
SCD5,SCD,Others,0.667,0.75
SCGB2A2,SCGB2A1,Others,0.565,0.625
SCIN,GSN,Others,0.627,0.717
SCRIB,LRRC1,Others,0.186,0.5
SDCBP2,SDCBP,Others,0.598,0.673
SDF2L1,SDF2,Others,0.606,0.75
SDK2,SDK1,Others,0.692,0.75
SDSL,SDS,Others,0.539,0.598
SEC14L5,SEC14L1,Others,0.2,0.75
SEL1L2,SEL1L,Others,0.47,0.75
SEMA3F,SEMA3C,Others,0.677,0.708
SEMA5B,SEMA5A,Others,0.652,0.75
SEMG2,SEMG1,Others,0.683,0.727
SERP2,SERP1,Others,0.405,0.75
SESN3,SESN1,Others,0.703,0.75
SETSIP,SET,Others,0.581,0.721
SFRP5,SFRP1,Others,0.468,0.685
SFT2D2,SFT2D1,Others,0.35,0.75
SFTPA2,SFTPA1,Others,0.717,0.75
SGMS2,SGMS1,Others,0.679,0.698
SGPP2,SGPP1,Others,0.726,0.727
SGSM2,SGSM1,Others,0.629,0.679
SH3GL2,SH3GL1,Others,0.523,0.536
SH3GLB2,SH3GLB1,Others,0.353,0.708
SHC3,SHC1,Others,0.602,0.708
SHC4,SHC1,Others,0.462,0.75
SHOX2,SHOX,Others,0.581,0.731
SI,MGAM,Others,0.619,0.656
SIAH2,SIAH1,Others,0.659,0.663
SIDT2,SIDT1,Others,0.717,0.722
SIGLEC11,SIGLEC10,Others,0.674,0.75
SIRT5,SIRT4,Others,0.534,0.545
SIX6,SIX3,Others,0.701,0.741
SLC10A4,SLC10A2,Others,0.523,0.75
SLC12A3,SLC12A2,Others,0.65,0.737
SLC13A5,SLC13A3,Others,0.672,0.714
SLC16A7,SLC16A1,Others,0.638,0.689
SLC16A8,SLC16A3,Others,0.69,0.744
SLC1A5,SLC1A4,Others,0.603,0.661
SLC22A12,SLC22A11,Others,0.635,0.644
SLC22A2,SLC22A1,Others,0.694,0.72
SLC22A5,SLC22A4,Others,0.605,0.632
SLC23A2,SLC23A1,Others,0.62,0.688
SLC24A4,SLC24A3,Others,0.734,0.734
SLC25A22,SLC25A18,Others,0.693,0.7
SLC25A52,SLC25A51,Others,0.75,0.75
SLC25A6,SLC25A4,Others,0.63,0.675
SLC27A3,SLC27A2,Others,0.539,0.653
SLC27A4,SLC27A1,Others,0.629,0.646
SLC27A6,SLC27A2,Others,0.496,0.731
SLC28A2,SLC28A1,Others,0.689,0.69
SLC2A7,SLC2A5,Others,0.497,0.74
SLC37A2,SLC37A1,Others,0.727,0.727
SLC38A4,SLC38A1,Others,0.675,0.75
SLC38A5,SLC38A4,Others,0.549,0.679
SLC38A8,SLC38A7,Others,0.554,0.75
SLC3A2,SLC3A1,Others,0.541,0.635
SLC43A2,SLC43A1,Others,0.738,0.75
SLC45A4,SLC45A1,Others,0.6,0.75
SLC4A7,SLC4A10,Others,0.703,0.75
SLC52A2,SLC52A1,Others,0.738,0.75
SLC5A8,SLC5A12,Others,0.648,0.656
SLC6A17,SLC6A15,Others,0.586,0.668
SLC6A19,SLC6A18,Others,0.583,0.75
SLC6A3,SLC6A2,Others,0.685,0.703
SLC6A6,SLC6A11,Others,0.578,0.642
SLC6A6,SLC6A13,Others,0.611,0.636
SLC7A2,SLC7A1,Others,0.652,0.733
