,gene1,gene2,hap1.negative.gi,rpe1.negative.gi,hap1_early_effect_size,hap1_late_effect_size,rpe1_early_effect_size,rpe1_late_effect_size,hap1_gi_type,rpe1_gi_type
600,CEP85,CEP85L,none,Negative,0.066512635,-0.019089907,-1.335927144,-0.979542602,none,unique_early
601,LYPLA1,LYPLA2,none,none,0.067040566,0.022363896,-0.023194145,0.042042734,none,none
602,KIFC3,KIFC2,none,none,0.071705016,0.157589949,-0.179062913,-0.002398108,none,none
603,HEATR5A,HEATR5B,none,none,0.07527053,0.173775317,0.019264365,0.02992251,none,none
604,GRPEL1,GRPEL2,none,none,0.076807647,0.751554131,-0.104163641,0.049780006,none,none
605,FOXF2,FOXF1,none,none,0.085897462,-0.110766208,-0.940124664,-0.87717668,none,none
606,NCOR1,NCOR2,none,none,0.086611495,0.083180763,-0.28148642,-0.221973947,none,none
607,CCNE2,CCNE1,none,none,0.091378085,0.105936373,0.00160283,0.429617752,none,none
608,RBM15B,RBM15,none,none,0.092304842,-0.058723926,-1.357228662,-1.083201859,none,none
609,PAK4,PAK6,none,none,0.095742127,-0.300008798,-0.185542957,0.354653353,none,none
610,MLLT10,MLLT6,none,none,0.096816974,0.15497696,-0.71861147,-0.389181794,none,none
611,UBR1,UBR2,none,none,0.110901197,-0.092974852,0.430466851,0.739655623,none,none
612,ATG4B,ATG4A,none,Positive,0.120737186,0.786214124,0.93058222,1.084378101,none,shared
