"","V1","V2","V3","V4","hct116.T21.gi","hct116.T21.gi.sd","qvalue.x","significant.x","GM.T15.gi","GM.T15.gi.sd","qvalue.y","significant.y","genename.x","genename.y","gi"
"524","choose","pair","ENSG00000103260","ENSG00000176845",0.0338315626922423,0.161114893497917,0.999999999999713,"N",0.126292708210737,0.232330580304893,0.999999997646874,"N","METRN","METRNL","others"
"525","choose","pair","ENSG00000106404","ENSG00000189143",0.0341679449240189,0.19650364910831,0.999999999999713,"N",0.36742179133237,0.253717427112196,0.999999997646874,"N","CLDN15","CLDN4","others"
"526","choose","pair","ENSG00000148935","ENSG00000139354",0.0357755782490566,0.410983897892768,0.999999999999713,"N",0.255015364205295,0.505557095095131,0.999999997646874,"N","GAS2","GAS2L3","others"
"527","choose","pair","ENSG00000058063","ENSG00000068650",0.0369644901374627,0.313322173692635,0.999999999999713,"N",0.229086858876196,0.40544521190097,0.999999997646874,"N","ATP11B","ATP11A","others"
"528","choose","pair","ENSG00000107105","ENSG00000066044",0.0380837979194503,0.145665180855205,0.999999999999713,"N",0.34353392068886,0.194535658912744,0.999999997646874,"N","ELAVL2","ELAVL1","others"
"529","choose","pair","ENSG00000175040","ENSG00000147119",0.0395590187914194,0.179882157360139,0.999999999999713,"N",0.528408100516724,0.32217470994465,0.999999997646874,"N","CHST2","CHST7","others"
"530","choose","pair","ENSG00000114021","ENSG00000158793",0.039968691071357,0.140664130120825,0.999999999999713,"N",0.116306566536191,0.192143633622395,0.999999997646874,"N","NIT2","NIT1","others"
"531","gi2","pair","ENSG00000107968","ENSG00000100156",0.0404955519554099,0.177107016728293,0.999999999999713,"N",0.209024401756391,0.253335417963776,0.999999997646874,"N","MAP3K8","SLC16A8","others"
"532","choose","pair","ENSG00000175048","ENSG00000204160",0.0405233823251011,0.30769691730476,0.999999999999713,"N",0.395143832380591,0.396150693351472,0.999999997646874,"N","ZDHHC14","ZDHHC18","others"
"533","choose","pair","ENSG00000137076","ENSG00000171914",0.0451572359100769,0.188719903989831,0.999999999999713,"N",0.0559828430241112,0.249925628281025,0.999999997646874,"N","TLN1","TLN2","others"
"534","choose","pair","ENSG00000142687","ENSG00000137261",0.0465828957002918,0.251934288070477,0.999999999999713,"N",0.375706769343717,0.324073905430866,0.999999997646874,"N","KIAA0319L","KIAA0319","others"
"535","choose","pair","ENSG00000115289","ENSG00000185619",0.0469838598471535,0.245403575747514,0.999999999999713,"N",-0.0331532823157313,0.373317708344849,0.999999997646874,"N","PCGF1","PCGF3","others"
"536","choose","pair","ENSG00000140961","ENSG00000164823",0.0473012738129188,0.203204450551524,0.999999999999713,"N",0.17807218336681,0.258546897160769,0.999999997646874,"N","OSGIN1","OSGIN2","others"
"537","choose","pair","ENSG00000070915","ENSG00000064651",0.0474521941277662,0.162088437431307,0.999999999999713,"N",0.0319997174171804,0.259315934867023,0.999999997646874,"N","SLC12A3","SLC12A2","others"
"538","choose","pair","ENSG00000121297","ENSG00000179981",0.0479718256738773,0.22453352300728,0.999999999999713,"N",0.264007747890414,0.27519864537752,0.999999997646874,"N","TSHZ3","TSHZ1","others"
"539","choose","pair","ENSG00000138640","ENSG00000148541",0.0503601515980157,0.297588308980501,0.999999999999713,"N",0.00518956388642822,0.485332772048558,0.999999997646874,"N","FAM13A","FAM13C","others"
"540","choose","pair","ENSG00000164841","ENSG00000125895",0.0522348510011801,0.29273282817925,0.999999999999713,"N",0.166430319063711,0.373980769259036,0.999999997646874,"N","TMEM74","TMEM74B","others"
"541","choose","pair","ENSG00000106003","ENSG00000169733",0.0527754392251061,0.26377750813349,0.999999999999713,"N",0.603380864738252,0.336831559082468,0.999999997646874,"N","LFNG","RFNG","others"
"542","choose","pair","ENSG00000182256","ENSG00000113327",0.0561270309305284,0.177065514885934,0.999999999999713,"N",0.416962251928753,0.232368618959679,0.999999997646874,"N","GABRG3","GABRG2","others"
"543","choose","pair","ENSG00000103653","ENSG00000007264",0.0611822646531019,0.189189883247863,0.999999999999713,"N",0.441866276321973,0.2850321960656,0.999999997646874,"N","CSK","MATK","others"
"544","choose","pair","ENSG00000175602","ENSG00000205476",0.0639048515826507,0.225113805429114,0.999999999999713,"N",0.828515948291619,0.28947102826138,0.999999997646874,"N","CCDC85B","CCDC85C","others"
"545","choose","pair","ENSG00000135916","ENSG00000136156",0.0655110151962174,0.192870863422127,0.999999999999713,"N",0.122275117588814,0.242180128536902,0.999999997646874,"N","ITM2C","ITM2B","others"
"546","choose","pair","ENSG00000150995","ENSG00000096433",0.0683929695584494,0.151023262263946,0.999999999999713,"N",0.296998585532611,0.246727219669789,0.999999997646874,"N","ITPR1","ITPR3","others"
"547","choose","pair","ENSG00000168672","ENSG00000162981",0.0684712711811458,0.330277797444668,0.999999999999713,"N",0.100135915119479,0.37425816091814,0.999999997646874,"N","FAM84B","FAM84A","others"
"548","choose","pair","ENSG00000152214","ENSG00000143622",0.0743452505022452,0.290266872290572,0.999999999999713,"N",0.590369653956419,0.388632038052923,0.999999997646874,"N","RIT2","RIT1","others"
"549","choose","pair","ENSG00000115112","ENSG00000135457",0.0756883359011638,0.226284705504819,0.999999999999713,"N",0.187932575815016,0.266801362601149,0.999999997646874,"N","TFCP2L1","TFCP2","others"
